Trial.ID Target.ID Lexicality MorphType Target Prime primeType logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
12290 290 NONWORD NA cantio cantiere rel NA 6 8 3.706797074 2 4
12291 291 NONWORD NA colide collegio rel NA 6 8 3.686467568 3 1
12292 292 NONWORD NA cublio cubicolo rel NA 6 8 2.839283241 1 2
12293 293 NONWORD NA ranfio randagio rel NA 6 8 3.21417569 2 2
22294 294 NONWORD NA legifo diamante ctrl NA 6 8 3.829911389 0 3
12295 295 NONWORD NA finava finalista rel NA 6 9 2.458094958 8 2
12296 296 NONWORD NA solpio solamente rel NA 6 9 4.39653354 4 6
22297 297 NONWORD NA lachia tifoseria ctrl NA 6 9 1.792983 3 1
12298 298 NONWORD NA frulore fruttaiolo rel NA 7 10 1.367014489 0 1
22299 299 NONWORD NA lopesta corpuscolo ctrl NA 7 10 1.367014489 0 1
22300 300 NONWORD NA busgalti sciagurato ctrl NA 8 10 2.622286994 0 4
