Trial.ID Target.ID Lexicality Morphtype Target Prime.x Primetype Logfreq.Zipf.t Lent Lenp Logfreq.Zipf.p Nt Np Language
222270 270 NONWORD NA gabre pendici ctrl NA 5 7 2.25162107 5 6 ita
222271 271 NONWORD NA mitte schiave ctrl NA 5 7 2.96907448 14 5 ita
212272 272 NONWORD NA froio frantoio rel NA 5 8 1.792983221 3 0 ita
212273 273 NONWORD NA ocusa oculista rel NA 5 8 2.70943717 3 1 ita
212274 274 NONWORD NA sepre serpente rel NA 5 8 4.170926602 14 6 ita
222275 275 NONWORD NA liboi araldico ctrl NA 5 8 1.734991274 2 1 ita
222276 276 NONWORD NA masta batteria ctrl NA 5 8 4.046745135 25 6 ita
222277 277 NONWORD NA denpo fermento ctrl NA 5 8 2.798378253 8 2 ita
222278 278 NONWORD NA ponta fraterno ctrl NA 5 8 2.972678605 20 3 ita
222279 279 NONWORD NA itago italiano ctrl NA 5 8 4.186339029 3 8 ita
222280 280 NONWORD NA zimle sommario ctrl NA 5 8 2.70943717 2 2 ita
212281 281 NONWORD NA manza mattinata rel NA 5 9 3.843169571 21 4 ita
212282 282 NONWORD NA piaca piazzista rel NA 5 9 2.145165739 13 1 ita
212283 283 NONWORD NA reane realmente rel NA 5 9 4.221320531 11 3 ita
222284 284 NONWORD NA elzuo ambulanza ctrl NA 5 9 4.357945026 0 3 ita
222285 285 NONWORD NA macre delizioso ctrl NA 5 9 4.145888961 9 8 ita
212286 286 NONWORD NA allui alligatore rel NA 5 10 3.293013756 4 2 ita
212287 287 NONWORD NA imuza imprudenza rel NA 5 10 2.630255924 1 2 ita
212288 288 NONWORD NA prote proiettile rel NA 5 10 4.381254928 21 3 ita
222289 289 NONWORD NA glaci esuberanza ctrl NA 5 10 2.304866582 2 0 ita
212290 290 NONWORD NA cantio cantiere rel NA 6 8 3.706797074 2 4 ita
212291 291 NONWORD NA colide collegio rel NA 6 8 3.686467568 3 1 ita
212292 292 NONWORD NA cublio cubicolo rel NA 6 8 2.839283241 1 2 ita
212293 293 NONWORD NA ranfio randagio rel NA 6 8 3.21417569 2 2 ita
222294 294 NONWORD NA legifo diamante ctrl NA 6 8 3.829911389 0 3 ita
212295 295 NONWORD NA finava finalista rel NA 6 9 2.458094958 8 2 ita
212296 296 NONWORD NA solpio solamente rel NA 6 9 4.39653354 4 6 ita
222297 297 NONWORD NA lachia tifoseria ctrl NA 6 9 1.792983 3 1 ita
212298 298 NONWORD NA frulore fruttaiolo rel NA 7 10 1.367014489 0 1 ita
222299 299 NONWORD NA lopesta corpuscolo ctrl NA 7 10 1.367014489 0 1 ita
222300 300 NONWORD NA busgalti sciagurato ctrl NA 8 10 2.622286994 0 4 ita
